0 ### False ### 11 ### Yamasaki, Uehara
1 ### False ### 11 ### Yamasaki, Uehara
2 ### False ### 15 ### Yamasaki, Uehara
3 ### False ### 9 ### Yamasaki, Uehara
4 ### False ### 62 ### Kiyomiya, Mizuno
5 ### False ### 7 ### Uwasawa, Takahashi
6 ### False ### 11 ### Yamasaki, Uehara
7 ### False ### 11 ### Ito, Uehara
8 ### False ### 62 ### Yamazaki, Uehara
9 ### False ### 11 ### Yamasaki, Uehara
10 ### False ### 9 ### Yamasaki, Uehara
11 ### False ### 17 ### Yamasaki, Uehara
12 ### False ### 17 ### Yamasaki, Uehara
13 ### False ### 15 ### Ito, Uehara
14 ### False ### 19 ### Yamazaki, Uehara
15 ### False ### 9 ### Yamasaki, Uehara
16 ### False ### 9 ### Yamasaki, Uehara
17 ### False ### 9 ### Yamasaki, Uehara
18 ### False ### 9 ### Yamasaki, Uehara
19 ### False ### 60 ### Sato, Imai
20 ### False ### 60 ### wrong answer
[Expected Answer]: Yoshida, Uehara
